session_id	ts	article	choice	query	question
648e103cad182e0e	2017-08-11T00:02:10Z	V for Vendetta	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
5cd8c32017b995bf	2017-08-11T00:03:00Z	Item 47	timeout	10 items or fewer	If you searched for '...', would this article be a good result?
15630f7cfc023e4a	2017-08-11T00:04:32Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
056bac5e156cac16	2017-08-11T00:06:46Z	Super Why!	unsure	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
2c75303c298948c8	2017-08-11T00:07:24Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
dc73686c19ce15a5	2017-08-11T00:08:09Z	V for Vendetta (film)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
fea0761edbf34cfb	2017-08-11T00:08:37Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
1918cb214e6837a2	2017-08-11T00:09:20Z	V for Vendetta	yes	who is v for vendetta?	Would you click on this page when searching for '...'?
36974ac9077d324e	2017-08-11T00:09:30Z	Private language argument	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
92615b0e04b8df9d	2017-08-11T00:10:22Z	The Kids from Room 402	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
ee09eb86808cd30d	2017-08-11T00:13:18Z	The Collected Stories of Philip K. Dick	timeout	yesterday beetles	Would you click on this page when searching for '...'?
6929c5e52054efa2	2017-08-11T00:13:21Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
50aef0fa4357fab1	2017-08-11T00:15:41Z	Diss (music)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
a48ec1b2199877fa	2017-08-11T00:21:14Z	Flowers in the Attic	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
e7a0f8a5a40a9174	2017-08-11T00:22:12Z	10-foot user interface	no	10 items or fewer	If someone searched for '...', would they want to read this article?
789c51668a5ac5b3	2017-08-11T00:22:24Z	V for Vendetta	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
9a707855df6b8d19	2017-08-11T00:23:04Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
0f23afcefaaea68a	2017-08-11T00:23:52Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be a good result?
925002afcd19c371	2017-08-11T00:28:42Z	Goat	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
f1805bec6651a74f	2017-08-11T00:30:55Z	Barney & Friends	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
f19328c85924d0c2	2017-08-11T00:35:42Z	Goat	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
